index_name,month,year,value,source
inpc,8,2038.0,0.042,previsto
inpc,9,2038.0,0.042,previsto
inpc,10,2038.0,0.042,previsto
inpc,11,2038.0,0.042,previsto
inpc,12,2038.0,0.042,previsto
igpm,1,2039.0,0.0394,previsto
igpm,2,2039.0,0.0394,previsto
igpm,3,2039.0,0.0394,previsto
igpm,4,2039.0,0.0394,previsto
igpm,5,2039.0,0.0394,previsto
igpm,6,2039.0,0.0394,previsto
igpm,7,2039.0,0.0394,previsto
igpm,8,2039.0,0.0394,previsto
igpm,9,2039.0,0.0394,previsto
igpm,10,2039.0,0.0394,previsto
igpm,11,2039.0,0.0394,previsto
igpm,12,2039.0,0.0394,previsto
ipca,1,2039.0,0.0362,previsto
ipca,2,2039.0,0.0362,previsto
ipca,3,2039.0,0.0362,previsto
ipca,4,2039.0,0.0362,previsto
ipca,5,2039.0,0.0362,previsto
ipca,6,2039.0,0.0362,previsto
ipca,7,2039.0,0.0362,previsto
ipca,8,2039.0,0.0362,previsto
ipca,9,2039.0,0.0362,previsto
ipca,10,2039.0,0.0362,previsto
ipca,11,2039.0,0.0362,previsto
ipca,12,2039.0,0.0362,previsto
inpc,1,2039.0,0.042,previsto
inpc,2,2039.0,0.042,previsto
inpc,3,2039.0,0.042,previsto
inpc,4,2039.0,0.042,previsto
inpc,5,2039.0,0.042,previsto
inpc,6,2039.0,0.042,previsto
inpc,7,2039.0,0.042,previsto
inpc,8,2039.0,0.042,previsto
inpc,9,2039.0,0.042,previsto
inpc,10,2039.0,0.042,previsto
inpc,11,2039.0,0.042,previsto
inpc,12,2039.0,0.042,previsto
igpm,1,2040.0,0.0394,previsto
igpm,2,2040.0,0.0394,previsto
igpm,3,2040.0,0.0394,previsto
igpm,4,2040.0,0.0394,previsto
igpm,5,2040.0,0.0394,previsto
igpm,6,2040.0,0.0394,previsto
igpm,7,2040.0,0.0394,previsto
igpm,8,2040.0,0.0394,previsto
igpm,9,2040.0,0.0394,previsto
igpm,10,2040.0,0.0394,previsto
igpm,11,2040.0,0.0394,previsto
igpm,12,2040.0,0.0394,previsto
ipca,1,2040.0,0.0362,previsto
ipca,2,2040.0,0.0362,previsto
ipca,3,2040.0,0.0362,previsto
ipca,4,2040.0,0.0362,previsto
ipca,5,2040.0,0.0362,previsto
ipca,6,2040.0,0.0362,previsto
ipca,7,2040.0,0.0362,previsto
ipca,8,2040.0,0.0362,previsto
ipca,9,2040.0,0.0362,previsto
ipca,10,2040.0,0.0362,previsto
ipca,11,2040.0,0.0362,previsto
ipca,12,2040.0,0.0362,previsto
inpc,1,2040.0,0.042,previsto
inpc,2,2040.0,0.042,previsto
inpc,3,2040.0,0.042,previsto
inpc,4,2040.0,0.042,previsto
inpc,5,2040.0,0.042,previsto
inpc,6,2040.0,0.042,previsto
inpc,7,2040.0,0.042,previsto
inpc,8,2040.0,0.042,previsto
inpc,9,2040.0,0.042,previsto
inpc,10,2040.0,0.042,previsto
inpc,11,2040.0,0.042,previsto
inpc,12,2040.0,0.042,previsto
